SECTIONS,DAY,TIME,SUBJECT,FACULTY,TYPE
7C,FRIDAY,8:30-9:30,OPEN ELECTIVE,NA,ACTIVITY
7C,FRIDAY,9:30-10:30,OPEN ELECTIVE,NA,ACTIVITY
7C,FRIDAY,11:00-12:00,DEEP LEARNING/IR,PROF. HEMANTH CHANDRA N,THEORY
7C,FRIDAY,12:00-1:00,NETWORK SECURITY,DR. NIRMALA H,THEORY
7C,FRIDAY,2:00-3:00,MAJOR PROJECT,DR. VIMUKTHA E SALIS,ACTIVITY
7C,FRIDAY,3:00-4:00,MAJOR PROJECT,PROF. SHARMILA,ACTIVITY
7C,SATURADAY,8:30-9:30,MAJOR PROJECT,DR. VIMUKTHA E SALIS,ACTIVITY
7C,SATURADAY,9:30-10:30,MAJOR PROJECT,PROF. SHARMILA,ACTIVITY
7C,SATURADAY,11:00-12:00,MAJOR PROJECT,DR. VIMUKTHA E SALIS,ACTIVITY
7C,SATURADAY,12:00-1:00,MAJOR PROJECT,PROF. SHARMILA,ACTIVITY
7C,SATURADAY,2:00-3:00,MAJOR PROJECT,DR. VIMUKTHA E SALIS,ACTIVITY
7C,SATURADAY,3:00-4:00,MAJOR PROJECT,PROF. SHARMILA,ACTIVITY
